year,subject,question,marks,topic
2021,Biology,What is photosynthesis?,4,Plant Physiology
2021,Chemistry,Explain ionic bond with example,4,Chemical Bonding
2021,Physics,State Newton's second law of motion,4,Mechanics
2021,Biology,Describe structure of chloroplast,4,Cell Biology
2021,Chemistry,Define molar mass,3,Physical Chemistry
2021,Physics,Explain Archimedes principle,4,Mechanics
2021,Biology,Explain stages of mitosis,5,Cell Biology
2021,Chemistry,Define Avogadro’s law,3,Gas Laws
2021,Physics,Explain laws of gravitation,4,Mechanics
2021,Biology,Describe human digestive system,5,Physiology
2022,Biology,Explain Mendel’s law of independent assortment,4,Genetics
2022,Physics,Explain wave optics,5,Optics
2022,Chemistry,What is hybridization?,4,Organic Chemistry
2022,Biology,Describe human circulatory system,5,Physiology
2022,Physics,Explain conservation of energy,5,Mechanics
2022,Chemistry,Define acids and bases,4,Acids and Bases
2022,Biology,Explain meiosis process,5,Cell Biology
2022,Physics,Explain thermodynamics laws,5,Thermodynamics
2022,Chemistry,Explain chemical equilibrium,4,Physical Chemistry
2022,Biology,Describe human nervous system,5,Physiology
2023,Biology,Explain DNA replication,5,Genetics
2023,Chemistry,Define pH scale,4,Acids and Bases
2023,Physics,Explain electromagnetic induction,6,Electromagnetism
2023,Biology,Describe respiration process,5,Physiology
2023,Chemistry,Explain ionic bonding,4,Chemical Bonding
2023,Physics,Explain photoelectric effect,6,Modern Physics
2023,Biology,Explain structure of mitochondria,5,Cell Biology
2023,Chemistry,Define molarity,3,Solutions
2023,Physics,Explain nuclear fission,6,Nuclear Physics
2023,Biology,Describe human skeletal system,5,Physiology
2024,Biology,Explain protein synthesis,5,Molecular Biology
2024,Chemistry,Explain chemical kinetics,4,Physical Chemistry
2024,Physics,Explain superconductivity,6,Modern Physics
2024,Biology,Describe endocrine glands,5,Physiology
2024,Chemistry,Define hybrid orbitals,4,Organic Chemistry
2024,Physics,Explain electromagnetic spectrum,6,Electromagnetism
2024,Biology,Explain immune system response,5,Physiology
2024,Chemistry,Explain ionic equilibrium,4,Physical Chemistry
2024,Physics,Explain laws of motion with examples,5,Mechanics
2024,Biology,Describe human reproductive system,5,Physiology
2025,Biology,Explain genetic mutations,5,Genetics
2025,Chemistry,Define chemical bonding,4,Chemical Bonding
2025,Physics,Explain conservation of momentum,5,Mechanics
2025,Biology,Describe structure of ribosomes,5,Cell Biology
2025,Chemistry,Explain acids and bases with examples,4,Acids and Bases
2025,Physics,Explain gravitation law,4,Mechanics
2025,Biology,Explain photosynthesis light reaction,5,Plant Physiology
2025,Chemistry,Define molar mass with example,3,Physical Chemistry
2025,Physics,Explain electromagnetic waves,6,Electromagnetism
2025,Biology,Describe human excretory system,5,Physiology
